username,date,rawContent,replyCount,retweetCount,likeCount,hashtags,mentionUsers,viewCount
traficogt,2024-09-12 14:22:06+00:00,Es comprensible la resolución... El ruso sabe de engrasar maquinaria.,0,0,1,,,393.0
monymmorales,2024-09-12 00:39:56+00:00,"La corrupción de la @CC_Guatemala
es descarada, falsificación de documentos y obligaron a extenderles DPI.
https://t.co/0J24ZCXJ2c",0,56,84,,CC_Guatemala,1587.0
animaldgalaccia,2024-09-12 01:21:04+00:00,"@PNCdeGuatemala @mingobguate @FJimenezmingob @diegoedeleon @amilcarmontejo @traficogt 

🚨🚨🚨🚨🚨",0,0,1,,"PNCdeGuatemala, mingobguate, FJimenezmingob, diegoedeleon, amilcarmontejo, traficogt",91.0
EstacionDobleA,2024-09-11 20:20:01+00:00,@amilcarmontejo @AztecaNoticiaGT @BancadaSemilla @BArevalodeLeon @diputadojp @EmisorasUnidas @eP_investiga @ImpactoNoticiGT @lahoragt @mingobguate @PrensaComunitar @Transito_mixco @DGTguate @PMT_VILLANUEVA @InfoTransitoGt @traficogt @PMT_SanJuanSac @PMTSanLucasSac @YenerPlaza,0,0,0,,"amilcarmontejo, AztecaNoticiaGT, BancadaSemilla, BArevalodeLeon, diputadojp, EmisorasUnidas, eP_investiga, ImpactoNoticiGT, lahoragt, mingobguate, PrensaComunitar, Transito_mixco, DGTguate, PMT_VILLANUEVA, InfoTransitoGt, traficogt, PMT_SanJuanSac, PMTSanLucasSac, YenerPlaza",46.0
CubReserva,2024-09-11 00:34:31+00:00,"@soy_502 @AztecaNoticiaGT @CONAPgt @DenunciaEMPAGUA @muniguate @GuatemalaGob @Guatevision_tv @pattyo502 @karinapazGt @Josechic86 @vecinosz16 URGENTE zona 16 en deterioro por  tala inmoderada, el tráfico es desesperante @traficogt @EmisorasUnidas @eP_investiga @IsaPaiz_",0,0,1,,"soy_502, AztecaNoticiaGT, CONAPgt, DenunciaEMPAGUA, muniguate, GuatemalaGob, Guatevision_tv, pattyo502, karinapazGt, Josechic86, vecinosz16, traficogt, EmisorasUnidas, eP_investiga, IsaPaiz_",171.0
Alejandro2024gt,2024-09-11 00:29:00+00:00,"@amilcarmontejo @PMTMuniGuate @Noti7Guatemala @NuestroDiario @T13Noticias @AztecaGuate @traficogt hay avenidas y calles (11 avenida 8 a la 12 calle) sin luz, semáforo y sin agentes de emetra .",0,0,0,,"amilcarmontejo, PMTMuniGuate, Noti7Guatemala, NuestroDiario, T13Noticias, AztecaGuate, traficogt",58.0
JulyPonce21,2024-09-10 21:01:54+00:00,"Favor compartir  
El vive el zona 7 Bethania 
@traficogt @amilcarmontejo @PNCdeGuatemala #urgente #Desaparecido https://t.co/LcIJv0Ffsj",0,0,0,"urgente, Desaparecido","traficogt, amilcarmontejo, PNCdeGuatemala",92.0
CubReserva,2024-09-10 16:12:07+00:00,@traficogt @_ojoconmipisto @soy_502 @AztecaNoticiaGT @AztecaNoticiaGT @muniguate @CONAPgt @DenunciaEMPAGUA @EmisorasUnidas @eP_investiga @luisvengt @samuel_pz @Josechic86 @CiudadCayala @marnguate @karinapazGt @vecinosz16 es importante ponerle atención a los vecinos de z 16 https://t.co/vRDMtvj36F,0,1,2,,"traficogt, _ojoconmipisto, soy_502, AztecaNoticiaGT, AztecaNoticiaGT, muniguate, CONAPgt, DenunciaEMPAGUA, EmisorasUnidas, eP_investiga, luisvengt, samuel_pz, Josechic86, CiudadCayala, marnguate, karinapazGt, vecinosz16",146.0
AlexDeL92022343,2024-09-10 12:28:50+00:00,@piero_coen @FJimenezmingob @traficogt @mingobguate @PNCdeGuatemala @DiariodeCA @AGN_noticias @Radio_TGW @GuatemalaGob Son pajas la mota ahora ya no vale nada,0,0,0,,"piero_coen, FJimenezmingob, traficogt, mingobguate, PNCdeGuatemala, DiariodeCA, AGN_noticias, Radio_TGW, GuatemalaGob",101.0
Bullgarrafuerte,2024-09-10 04:56:52+00:00,"@erwin_fern84019 @piero_coen @FJimenezmingob @traficogt @mingobguate @PNCdeGuatemala @DiariodeCA @AGN_noticias @Radio_TGW @GuatemalaGob ayyyy te arde que fumen mota, mejor segui chimando bebes.",0,0,0,,"erwin_fern84019, piero_coen, FJimenezmingob, traficogt, mingobguate, PNCdeGuatemala, DiariodeCA, AGN_noticias, Radio_TGW, GuatemalaGob",81.0
